,coords,rating
142,"(35.596686000000005, -84.4604728)",5.0
143,"(36.037768799999995, -88.2507462)",3.0
144,"(36.2643069, -89.4875751)",2.0
145,"(35.9567585, -83.9374647)",5.0
146,"(36.5298617, -85.854523)",1.0
147,"(35.556320799999995, -89.66055080000001)",2.0
148,"(35.0233226, -90.0216909)",1.0
149,"(35.6561775, -88.39788300000001)",2.0
150,"(36.0477576, -89.3784539)",1.0
151,"(36.561374, -86.247664)",1.0
152,"(35.001139, -85.70858100000001)",2.0
153,"(35.9845597, -83.86021579999999)",5.0
154,"(36.171124999999996, -82.844456)",3.0
155,"(35.7424939, -89.5397466)",1.0
156,"(36.351454000000004, -82.37105899999999)",5.0
157,"(35.013553, -88.236606)",3.0
158,"(36.307633599999996, -82.39826620000001)",3.0
159,"(36.4829949, -83.0029137)",4.0
160,"(36.4320659, -84.943821)",2.0
161,"(36.1515805, -85.2703518)",3.0
162,"(35.869298, -88.846356)",4.0
163,"(36.2771999, -88.6877384)",4.0
164,"(35.198154499999994, -84.8851808)",2.0
165,"(35.2289574, -88.2302404)",1.0
166,"(35.8712918, -86.3821842)",1.0
167,"(35.543060499999996, -87.2177545)",3.0
168,"(36.304324599999994, -87.7207232)",1.0
169,"(36.095186500000004, -86.8202287)",3.0
170,"(36.394459, -86.440399)",4.0
171,"(36.4131755, -89.0394526)",4.0
172,"(35.7852337, -83.5626345)",1.0
173,"(35.4685395, -86.0838307)",1.0
175,"(35.7520558, -85.4640124)",4.0
176,"(36.572428200000004, -85.1357428)",2.0
177,"(35.4963819, -86.0772326)",3.0
178,"(35.8762224, -86.3849387)",5.0
179,"(35.242592, -85.830468)",1.0
180,"(35.896678, -84.95416800000001)",5.0
181,"(35.2305988, -88.3826656)",2.0
182,"(35.6857955, -88.8512344)",1.0
183,"(36.545491999999996, -87.37444199999999)",1.0
184,"(35.7556893, -83.9367227)",3.0
185,"(35.766161, -86.381801)",1.0
186,"(35.232647300000004, -85.1748575)",3.0
187,"(36.519101, -86.0231888)",1.0
188,"(35.152324, -89.819288)",5.0
189,"(35.680783, -88.830396)",2.0
190,"(35.6167759, -88.7835158)",1.0
191,"(35.815780999999994, -87.432732)",4.0
192,"(36.3839591, -85.3315099)",5.0
193,"(35.952208500000005, -85.4860934)",5.0
194,"(35.346747400000005, -84.5244976)",1.0
195,"(36.3374363, -88.87076069999999)",4.0
196,"(36.1313191, -82.414314)",5.0
197,"(35.343533, -89.89420500000001)",1.0
198,"(35.1176822, -89.89299380000001)",1.0
199,"(36.1519056, -85.4723397)",1.0
200,"(35.182520499999995, -90.0450137)",1.0
201,"(35.01346, -88.236164)",5.0
202,"(35.577659000000004, -87.34898899999999)",1.0
203,"(35.6415858, -88.3770917)",2.0
204,"(36.5201238, -87.3092039)",2.0
205,"(35.826483800000005, -86.0692741)",1.0
206,"(36.237045, -85.954572)",1.0
207,"(36.206996800000006, -86.5170479)",1.0
208,"(35.324262100000006, -89.6224343)",1.0
209,"(35.667674, -89.3517)",3.0
210,"(35.192004299999994, -87.0064046)",4.0
211,"(35.2009023, -88.2390254)",4.0
212,"(36.542659, -85.5052717)",4.0
213,"(36.0505983, -89.381802)",3.0
214,"(35.628349, -88.7988256)",1.0
215,"(36.454574, -87.13615200000001)",2.0
216,"(35.5814536, -88.1280774)",3.0
217,"(35.6398338, -88.12106879999999)",4.0
218,"(35.1626502, -88.5692691)",3.0
219,"(35.6342669, -88.82785439999999)",2.0
220,"(35.835462, -88.90834330000001)",3.0
221,"(36.572817, -87.272171)",1.0
222,"(35.585299, -84.476494)",2.0
223,"(35.504384, -84.373379)",2.0
224,"(36.2897074, -82.491031)",3.0
225,"(36.5319794, -83.21564260000001)",5.0
226,"(36.306807, -86.718007)",1.0
227,"(35.534064, -89.67728000000001)",1.0
228,"(36.2900146, -88.3039625)",3.0
229,"(35.7298362, -89.0675242)",3.0
230,"(36.3319283, -82.2406661)",4.0
231,"(35.598961700000004, -87.0745438)",1.0
232,"(35.785207, -89.1274241)",1.0
233,"(36.0925488, -89.0013218)",4.0
234,"(36.344631, -82.222624)",5.0
235,"(36.442009999999996, -88.3393641)",2.0
236,"(35.447699799999995, -88.62008469999999)",1.0
237,"(35.7343847, -83.9700813)",4.0
238,"(36.0295704, -83.4280896)",3.0
239,"(36.3335304, -82.2411883)",5.0
240,"(35.941275999999995, -86.8357339)",3.0
